Food Name,prot_g,tot_fat_g,tot_fib_g,carb_g
Poppy seeds,20.31,30.38,26.68,12.37
"Grapes, seeded, round, red",0.95,0.29,1.28,12.55
"Mango, ripe, totapari",0.41,0.49,1.73,12.75
"Soya bean, brown",35.58,19.82,21.55,12.79
"Potato, brown skin, small",1.35,0.22,1.69,12.9
Coriander seeds,10.66,17.47,44.81,12.98
"Sugarcane, juice",0.16,0.4,0.56,13.11
"Apple, big",0.29,0.64,2.59,13.11
"Grapes, seeded, round, black",0.76,0.32,1.35,13.23
Manila tamarind,3.56,1.14,4.4,13.54
Sapota,0.92,1.26,9.6,13.9
"Apple, small",0.31,0.53,2.06,13.95
"Apple, small, Kashmir",0.27,0.6,2.07,13.99
"Jack fruit, ripe",2.74,0.15,3.62,14.01
Lotus root,1.94,0.93,4.7,14.67
"Potato, brown skin, big",1.54,0.23,1.71,14.89
Phalsa,1.66,0.14,4.54,15.09
"Potato, red skin",1.83,0.22,1.68,15.43
Pistachio nuts,23.35,42.49,10.64,15.82
Fig,2.03,0.37,4.64,16.28
"Maize, tender, sweet",4.16,1.35,3.3,16.42
Khoa,16.34,20.62,0,16.53
Mustard seeds,19.51,40.19,14.1,16.8
Rambutan,0.68,0.16,1.02,16.84
Ground nut,23.65,39.63,10.38,17.27
"Yam, elephant",2.56,0.14,4.17,17.46
"Plantain, green",1.18,0.23,3.6,17.58
"Yam, ordinary",2.18,0.17,4.08,17.65
Tapioca,1.03,0.2,4.61,17.81
Colocasia,3.31,0.17,3.22,17.85
Cloves,5.86,8.41,34.52,18.73
"Red gram, tender, fresh",8.09,0.92,5.9,19.46
"Grapes, seedless, round, black",1.24,0.35,1.15,19.86
Custard apple,1.62,0.67,5.1,20.38
"Grapes, seedless, oval, black",1.41,0.46,1.64,20.48
"Niger seeds, gray",18.34,39.53,10.96,20.59
"Yam, wild",3.07,0.3,4.57,20.95
Water Chestnut,0.86,0.37,3.02,21.46
"Garlic, small clove",6.75,0.14,5.47,21.84
"Garlic, big clove",6.92,0.16,5.22,21.93
Cumin seeds,13.91,16.64,30.35,22.62
"Maize, tender, local",3.57,1.4,3.67,22.69
"Niger seeds, black",18.92,38.61,10.93,22.98
"Banana, ripe, poovam",1.49,0.35,2.33,23.41
"Garlic, single clove, Kashmir",6.12,0.16,4.01,23.46
"Banana, ripe, robusta",1.23,0.33,1.94,23.63
"Sweet potato, pink skin",1.27,0.33,3.94,23.93
"Sweet potato, brown skin",1.33,0.26,3.99,24.25
Omum,15.89,21.11,20.58,24.53
"Banana, ripe, montham",1.25,0.32,2.21,24.95
"Banana, ripe, red",1.29,0.29,1.98,25.21
Cashew nut,18.78,45.2,3.86,25.46
Mace,6.24,24.41,20.31,26.51
Pine seed,12.55,48.79,3.79,26.77
Nutmeg,6.3,36.52,11.99,27.64
Bael fruit,2.63,0.57,6.31,28.21
"Chillies, red",12.69,6.4,31.15,29.46
Safflower seeds,17.66,30.87,13.49,30.18
"Garden cress, seeds",23.36,23.74,8.27,33.66
Pippali,10.53,2.27,34.14,35.7
"Pepper, black",10.12,2.74,33.16,36.22
"Bengal gram, whole",18.77,5.11,25.22,39.56
"Red gram, whole",20.47,1.38,22.84,42.48
"Field bean, black",19.93,0.92,23.4,43.46
"Black gram, whole",21.97,1.58,20.41,43.99
"Field bean, white",19.84,0.94,22.99,44.53
"Arecanut, fresh",2.73,5.51,7.63,45
"Field bean, brown",19.9,0.98,22.4,45.24
"Green gram, whole",22.53,1.14,17.04,46.13
"Bengal gram, dal",21.55,5.31,15.15,46.72
"Cardamom, green",8.1,2.6,23.1,47.76
"Lentil whole, yellowish",22.87,0.61,16.66,47.91
"Lentil whole, brown",22.49,0.64,16.82,48.47
"Rajmah, red",19.91,1.77,16.57,48.61
"Rajmah, brown",19.5,1.68,16.95,48.83
"Peas, dry",20.43,1.89,17.01,48.93
Turmeric powder,7.66,5.03,21.38,49.22
"Rajmah, black",19.01,1.62,17.74,49.59
"Black gram, dal",23.06,1.69,11.93,51
Ricebean,19.97,0.74,13.37,51.26
Moth bean,19.75,1.76,15.12,52.09
Lentil dal,24.35,0.75,10.43,52.53
"Cardamom, black",6.69,2.8,23.46,52.53
"Green gram, dal",23.88,1.35,9.37,52.59
Quinoa,13.11,5.5,14.66,53.65
"Cowpea, white",21.25,1.14,11.7,53.77
"Cowpea, brown",20.36,1.15,11.54,54.62
"Red gram, dal",21.7,1.56,9.06,55.23
"Horse gram, whole",21.73,0.62,7.88,57.24
"Amaranth seed, black",14.59,5.74,7.02,59.98
Barley,10.94,1.3,15.64,61.29
"Amaranth seed, pale brown",13.27,5.56,7.47,61.46
Bajra,10.96,5.43,11.49,61.78
"Wheat flour, atta",10.57,1.53,11.36,64.17
"Wheat, whole",10.59,1.47,11.23,64.72
"Maize, dry",8.8,3.77,12.24,64.77
Samai,10.13,3.89,7.72,65.55
Varagu,8.92,2.55,6.39,66.19
Ragi,7.16,1.92,11.18,66.82
"Tamarind, pulp",2.92,0.15,5.31,67.35
Jowar,9.97,1.73,10.22,67.68
"Dates, processed",1.18,0.41,6.52,67.95
"Wheat, semolina",11.38,0.74,9.72,68.43
"Raisins, dried, golden",2.76,0.35,4.56,68.79
"Wheat, bulgur",10.84,1.45,8.81,69.06
"Arecanut, dried, red color",6.46,4.46,11.11,70.27
"Wheat, vermicelli",9.7,0.45,9.28,70.39
"Arecanut, dried, brown",5.78,4.35,11.44,70.42
"Raisins, dried, black",2.57,0.34,3.92,71.29
"Wheat, vermicelli, roasted",10.37,0.49,9.55,71.42
Asafoetida,6.34,1.26,5.13,71.95
"Apricot, dried",3.17,0.74,3.32,72.63
"Dates, dry, dark brown",2.38,0.35,9.1,72.67
"Wheat flour, refined",10.36,0.76,2.76,74.27
"Rice, raw, brown",9.16,1.24,4.43,74.8
"Dates, dry, pale brown",2.45,0.35,8.95,74.91
Rice flakes,7.44,1.14,3.46,76.75
Rice puffed,7.47,1.62,2.56,77.68
"Rice, raw, milled",7.94,0.52,2.81,78.24
"Jaggery, cane",1.85,0.16,0,84.87
